obat,kontraindikasi
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Doxycycline,Tidak disarankan untuk ibu hamil
Simvastatin,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Hindari pada pasien dengan gagal ginjal berat
Dexamethasone,Hindari jika memiliki alergi terhadap komponen obat
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metformin,Hindari jika memiliki gangguan hati berat
Ciprofloxacin,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Doxycycline,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ibuprofen,Interaksi serius dengan obat pengencer darah
Simvastatin,Interaksi serius dengan obat pengencer darah
Omeprazole,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ciprofloxacin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Diazepam,Tidak boleh digunakan dengan alkohol
Amoxicillin,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Tidak boleh digunakan dengan alkohol
Cetirizine,Hindari jika memiliki gangguan hati berat
Ibuprofen,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Tidak disarankan untuk ibu hamil
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Interaksi serius dengan obat pengencer darah
Paracetamol,Interaksi serius dengan obat pengencer darah
Furosemide,Hindari jika memiliki gangguan hati berat
Omeprazole,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Paracetamol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ibuprofen,Hindari jika memiliki alergi terhadap komponen obat
Levothyroxine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ibuprofen,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Tidak boleh digunakan dengan alkohol
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Aspirin,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Hindari jika memiliki tukak lambung aktif
Metformin,Tidak disarankan untuk ibu hamil
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Hindari jika memiliki gangguan hati berat
Omeprazole,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metformin,Interaksi serius dengan obat pengencer darah
Amoxicillin,Interaksi serius dengan obat pengencer darah
Losartan,Hindari jika memiliki tukak lambung aktif
Doxycycline,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Tidak boleh digunakan dengan alkohol
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Paracetamol,Interaksi serius dengan obat pengencer darah
Metoprolol,Tidak disarankan untuk ibu hamil
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Interaksi serius dengan obat pengencer darah
Furosemide,Tidak disarankan untuk ibu hamil
Cetirizine,Hindari jika memiliki tukak lambung aktif
Prednisone,Tidak disarankan untuk ibu hamil
Diazepam,Tidak boleh digunakan dengan alkohol
Levothyroxine,Tidak boleh digunakan dengan alkohol
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Losartan,Tidak disarankan untuk ibu hamil
Amoxicillin,Hindari jika memiliki gangguan hati berat
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Hydrochlorothiazide,Hindari jika memiliki gangguan hati berat
Furosemide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Doxycycline,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Tidak boleh digunakan dengan alkohol
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Hindari jika memiliki gangguan hati berat
Furosemide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Aspirin,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Dexamethasone,Hindari jika memiliki tukak lambung aktif
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Hindari jika memiliki gangguan hati berat
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Warfarin,Tidak disarankan untuk ibu hamil
Simvastatin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Interaksi serius dengan obat pengencer darah
Aspirin,Tidak boleh digunakan dengan alkohol
Paracetamol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Levothyroxine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Prednisone,Hindari jika memiliki tukak lambung aktif
Diazepam,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Furosemide,Hindari jika memiliki gangguan hati berat
Amoxicillin,Interaksi serius dengan obat pengencer darah
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Losartan,Hindari jika memiliki tukak lambung aktif
Warfarin,Hindari jika memiliki gangguan hati berat
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Clopidogrel,Hindari jika memiliki gangguan hati berat
Doxycycline,Hindari jika memiliki gangguan hati berat
Furosemide,Tidak disarankan untuk ibu hamil
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Tidak boleh digunakan dengan alkohol
Metformin,Interaksi serius dengan obat pengencer darah
Furosemide,Hindari jika memiliki tukak lambung aktif
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Furosemide,Tidak disarankan untuk ibu hamil
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Paracetamol,Hindari pada pasien dengan gagal ginjal berat
Prednisone,Interaksi serius dengan obat pengencer darah
Furosemide,Hindari jika memiliki gangguan hati berat
Doxycycline,Hindari jika memiliki gangguan hati berat
Levothyroxine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Doxycycline,Hindari jika memiliki gangguan hati berat
Levothyroxine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Dexamethasone,Tidak boleh digunakan dengan alkohol
Metoprolol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Amoxicillin,Tidak disarankan untuk ibu hamil
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Hindari jika memiliki alergi terhadap komponen obat
Amoxicillin,Hindari jika memiliki gangguan hati berat
Prednisone,Tidak disarankan untuk ibu hamil
Doxycycline,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Diazepam,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ibuprofen,Hindari jika memiliki gangguan hati berat
Losartan,Hindari jika memiliki gangguan hati berat
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Diazepam,Interaksi serius dengan obat pengencer darah
Amoxicillin,Hindari pada pasien dengan gagal ginjal berat
Clopidogrel,Tidak boleh digunakan dengan alkohol
Dexamethasone,Tidak boleh digunakan dengan alkohol
Metformin,Hindari jika memiliki gangguan hati berat
Metoprolol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Amoxicillin,Tidak boleh digunakan dengan alkohol
Simvastatin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Omeprazole,Tidak boleh digunakan dengan alkohol
Losartan,Tidak disarankan untuk ibu hamil
Furosemide,Hindari jika memiliki gangguan hati berat
Paracetamol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Levothyroxine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metformin,Hindari pada pasien dengan gagal ginjal berat
Diazepam,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Cetirizine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Amoxicillin,Hindari jika memiliki tukak lambung aktif
Dexamethasone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Cetirizine,Hindari jika memiliki alergi terhadap komponen obat
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Hindari jika memiliki gangguan hati berat
Doxycycline,Tidak boleh digunakan dengan alkohol
Metoprolol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metformin,Hindari jika memiliki tukak lambung aktif
Diazepam,Hindari jika memiliki gangguan hati berat
Diazepam,Interaksi serius dengan obat pengencer darah
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Dexamethasone,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Omeprazole,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Prednisone,Tidak boleh digunakan dengan alkohol
Furosemide,Hindari jika memiliki alergi terhadap komponen obat
Diazepam,Tidak disarankan untuk ibu hamil
Prednisone,Hindari pada pasien dengan gagal ginjal berat
Paracetamol,Hindari jika memiliki gangguan hati berat
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Amoxicillin,Tidak disarankan untuk ibu hamil
Diazepam,Interaksi serius dengan obat pengencer darah
Doxycycline,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Levothyroxine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Paracetamol,Interaksi serius dengan obat pengencer darah
Simvastatin,Tidak disarankan untuk ibu hamil
Paracetamol,Interaksi serius dengan obat pengencer darah
Metformin,Tidak boleh digunakan dengan alkohol
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Tidak boleh digunakan dengan alkohol
Amoxicillin,Tidak disarankan untuk ibu hamil
Doxycycline,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Tidak disarankan untuk ibu hamil
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metformin,Tidak boleh digunakan dengan alkohol
Levothyroxine,Hindari jika memiliki gangguan hati berat
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Clopidogrel,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Hindari jika memiliki gangguan hati berat
Clopidogrel,Hindari jika memiliki gangguan hati berat
Losartan,Hindari jika memiliki tukak lambung aktif
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Prednisone,Hindari jika memiliki gangguan hati berat
Losartan,Hindari jika memiliki alergi terhadap komponen obat
Losartan,Tidak disarankan untuk ibu hamil
Paracetamol,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Furosemide,Hindari jika memiliki tukak lambung aktif
Furosemide,Tidak disarankan untuk ibu hamil
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Tidak boleh digunakan dengan alkohol
Losartan,Hindari jika memiliki gangguan hati berat
Diazepam,Tidak disarankan untuk ibu hamil
Dexamethasone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Doxycycline,Tidak boleh digunakan dengan alkohol
Metformin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Omeprazole,Tidak disarankan untuk ibu hamil
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Hindari jika memiliki gangguan hati berat
Prednisone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Hindari jika memiliki gangguan hati berat
Furosemide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metformin,Hindari jika memiliki gangguan hati berat
Metoprolol,Tidak disarankan untuk ibu hamil
Losartan,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Diazepam,Hindari jika memiliki alergi terhadap komponen obat
Hydrochlorothiazide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Hindari jika memiliki gangguan hati berat
Doxycycline,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Doxycycline,Hindari jika memiliki tukak lambung aktif
Dexamethasone,Tidak boleh digunakan dengan alkohol
Aspirin,Hindari jika memiliki tukak lambung aktif
Prednisone,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Hindari jika memiliki gangguan hati berat
Metoprolol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Prednisone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Dexamethasone,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metoprolol,Hindari jika memiliki alergi terhadap komponen obat
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Metformin,Hindari jika memiliki gangguan hati berat
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Hindari jika memiliki tukak lambung aktif
Paracetamol,Tidak boleh digunakan dengan alkohol
Aspirin,Hindari jika memiliki gangguan hati berat
Levothyroxine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Hindari pada pasien dengan gagal ginjal berat
Paracetamol,Hindari jika memiliki alergi terhadap komponen obat
Simvastatin,Hindari jika memiliki tukak lambung aktif
Ibuprofen,Hindari jika memiliki gangguan hati berat
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Diazepam,Interaksi serius dengan obat pengencer darah
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Ciprofloxacin,Hindari jika memiliki tukak lambung aktif
Furosemide,Hindari jika memiliki gangguan hati berat
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Metoprolol,Hindari jika memiliki alergi terhadap komponen obat
Cetirizine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Hindari pada pasien dengan gagal ginjal berat
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Furosemide,Tidak disarankan untuk ibu hamil
Losartan,Tidak disarankan untuk ibu hamil
Warfarin,Hindari jika memiliki alergi terhadap komponen obat
Furosemide,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Amoxicillin,Hindari jika memiliki gangguan hati berat
Prednisone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Paracetamol,Tidak disarankan untuk ibu hamil
Metformin,Hindari pada pasien dengan gagal ginjal berat
Ibuprofen,Tidak disarankan untuk ibu hamil
Clopidogrel,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Hindari jika memiliki tukak lambung aktif
Losartan,Hindari jika memiliki alergi terhadap komponen obat
Hydrochlorothiazide,Hindari pada pasien dengan gagal ginjal berat
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Tidak disarankan untuk ibu hamil
Clopidogrel,Hindari jika memiliki gangguan hati berat
Prednisone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Diazepam,Interaksi serius dengan obat pengencer darah
Losartan,Tidak boleh digunakan dengan alkohol
Clopidogrel,Tidak boleh digunakan dengan alkohol
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Hindari jika memiliki gangguan hati berat
Prednisone,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Hindari pada pasien dengan gagal ginjal berat
Paracetamol,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Clopidogrel,Tidak boleh digunakan dengan alkohol
Diazepam,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ibuprofen,Hindari jika memiliki alergi terhadap komponen obat
Clopidogrel,Hindari jika memiliki gangguan hati berat
Levothyroxine,Hindari jika memiliki gangguan hati berat
Ciprofloxacin,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Interaksi serius dengan obat pengencer darah
Furosemide,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Tidak disarankan untuk ibu hamil
Cetirizine,Tidak disarankan untuk ibu hamil
Metoprolol,Interaksi serius dengan obat pengencer darah
Hydrochlorothiazide,Hindari jika memiliki alergi terhadap komponen obat
Metformin,Tidak disarankan untuk ibu hamil
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Paracetamol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Cetirizine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metformin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Dexamethasone,Hindari jika memiliki gangguan hati berat
Ibuprofen,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Amoxicillin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Cetirizine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Hindari jika memiliki tukak lambung aktif
Simvastatin,Interaksi serius dengan obat pengencer darah
Clopidogrel,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Prednisone,Hindari jika memiliki gangguan hati berat
Warfarin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Prednisone,Tidak disarankan untuk ibu hamil
Ibuprofen,Tidak boleh digunakan dengan alkohol
Metoprolol,Interaksi serius dengan obat pengencer darah
Dexamethasone,Hindari pada pasien dengan gagal ginjal berat
Simvastatin,Tidak boleh digunakan dengan alkohol
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Interaksi serius dengan obat pengencer darah
Doxycycline,Tidak disarankan untuk ibu hamil
Warfarin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Cetirizine,Hindari pada pasien dengan gagal ginjal berat
Furosemide,Hindari jika memiliki gangguan hati berat
Furosemide,Hindari jika memiliki gangguan hati berat
Warfarin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Aspirin,Tidak boleh digunakan dengan alkohol
Clopidogrel,Tidak disarankan untuk ibu hamil
Doxycycline,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Paracetamol,Interaksi serius dengan obat pengencer darah
Simvastatin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Aspirin,Tidak disarankan untuk ibu hamil
Diazepam,Interaksi serius dengan obat pengencer darah
Amoxicillin,Interaksi serius dengan obat pengencer darah
Omeprazole,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Simvastatin,Hindari jika memiliki alergi terhadap komponen obat
Losartan,Hindari jika memiliki gangguan hati berat
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Hindari pada pasien dengan gagal ginjal berat
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Simvastatin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Cetirizine,Hindari jika memiliki alergi terhadap komponen obat
Aspirin,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Clopidogrel,Hindari jika memiliki alergi terhadap komponen obat
Doxycycline,Hindari pada pasien dengan gagal ginjal berat
Levothyroxine,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Prednisone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Cetirizine,Tidak boleh digunakan dengan alkohol
Clopidogrel,Hindari jika memiliki tukak lambung aktif
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Diazepam,Hindari jika memiliki tukak lambung aktif
Furosemide,Hindari jika memiliki gangguan hati berat
Omeprazole,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Tidak boleh digunakan dengan alkohol
Prednisone,Tidak disarankan untuk ibu hamil
Warfarin,Hindari jika memiliki tukak lambung aktif
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Prednisone,Hindari jika memiliki tukak lambung aktif
Aspirin,Tidak disarankan untuk ibu hamil
Amoxicillin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Metoprolol,Interaksi serius dengan obat pengencer darah
Metoprolol,Hindari jika memiliki gangguan hati berat
Paracetamol,Tidak disarankan untuk ibu hamil
Levothyroxine,Tidak boleh digunakan dengan alkohol
Dexamethasone,Tidak boleh digunakan dengan alkohol
Aspirin,Hindari pada pasien dengan gagal ginjal berat
Omeprazole,Hindari jika memiliki gangguan hati berat
Amoxicillin,Hindari jika memiliki alergi terhadap komponen obat
Prednisone,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Paracetamol,Tidak boleh digunakan dengan alkohol
Diazepam,Hindari jika memiliki gangguan hati berat
Paracetamol,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Losartan,Tidak disarankan untuk ibu hamil
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Simvastatin,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Clopidogrel,Interaksi serius dengan obat pengencer darah
Doxycycline,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Prednisone,Interaksi serius dengan obat pengencer darah
Amoxicillin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Hydrochlorothiazide,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Furosemide,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Diazepam,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Warfarin,Hindari jika memiliki tukak lambung aktif
Omeprazole,Tidak boleh digunakan dengan alkohol
Paracetamol,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Warfarin,Tidak disarankan untuk ibu hamil
Paracetamol,Hindari jika memiliki gangguan hati berat
Prednisone,Tidak boleh digunakan dengan alkohol
Ciprofloxacin,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Metoprolol,Hindari jika memiliki gangguan hati berat
Levothyroxine,Dapat meningkatkan risiko serangan jantung pada penggunaan jangka panjang
Omeprazole,Tidak boleh digunakan dengan alkohol
Ibuprofen,Tidak boleh digunakan dengan alkohol
Amoxicillin,Tidak disarankan untuk ibu hamil
Prednisone,Hindari jika memiliki alergi terhadap komponen obat
Levothyroxine,Hindari jika memiliki alergi terhadap komponen obat
Omeprazole,Hindari jika memiliki tukak lambung aktif
Losartan,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Dexamethasone,Interaksi serius dengan obat pengencer darah
Ibuprofen,Tidak disarankan untuk ibu hamil
Warfarin,Hindari jika memiliki gangguan hati berat
Prednisone,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Ibuprofen,Interaksi serius dengan obat pengencer darah
Warfarin,Hindari pada pasien dengan gagal ginjal berat
Ciprofloxacin,Tidak boleh digunakan dengan alkohol
Aspirin,Tidak boleh digunakan dengan alkohol
Dexamethasone,Jangan digunakan pada pasien dengan risiko tinggi perdarahan
Ciprofloxacin,Hindari jika memiliki gangguan hati berat
Cetirizine,Jangan digunakan pada anak-anak dengan demam (risiko Reye's syndrome)
Metformin,Hindari jika memiliki gangguan hati berat
Cetirizine,Tidak disarankan untuk ibu hamil
